Task,alpha Accuracy (%),beta Accuracy (%),gamma Accuracy (%)
mmlu-high-school-statistics,51.39,17.13,50.46
math-counting-and-probability,,,
mmlu-jurisprudence,81.48,17.59,79.63
math-algebra,24.85,,
mmlu-nutrition,74.51,4.25,76.47
mmlu-conceptual-physics,64.68,14.04,63.4
math-number-theory,,,
mmlu-security-studies,73.88,37.55,75.92
mmlu-philosophy,72.99,19.29,76.53
mmlu-college-chemistry,55.0,9.0,49.0
mmlu-global-facts,44.0,27.0,43.0
htest-uppercase,53.5,53.5,43.0
hhh-alignment-other,69.77,6.98,97.67
aqua-rat,29.53,20.08,32.68
math-precalculus,,,
mmlu-professional-law,49.48,5.41,51.63
htest-spelled-number,49.0,49.0,51.0
mmlu-us-foreign-policy,87.0,30.0,87.0
hhh-alignment-honest,62.3,13.11,83.61
mmlu-professional-medicine,71.69,28.31,74.26
htest-spelled-math,51.0,51.0,52.0
mmlu-moral-disputes,74.86,4.91,78.32
commonsenseqa,74.69,35.14,76.09
mmlu-college-physics,45.1,2.94,45.1
arc-challenge,81.31,7.08,81.57
mmlu-miscellaneous,88.63,24.14,88.89
mmlu-high-school-microeconomics,76.05,15.97,77.73
piqa,75.57,60.61,76.71
mmlu-high-school-psychology,86.42,38.72,87.71
mmlu-public-relations,70.91,22.73,71.82
hhh-alignment-helpful,54.24,16.95,91.53
truthfulqa-mc1,52.02,0.0,60.95
mmlu-marketing,90.17,7.26,91.88
mmlu-high-school-mathematics,34.44,25.56,36.3
mmlu-logical-fallacies,75.46,39.88,77.91
mmlu-high-school-chemistry,53.2,7.39,50.74
mmlu-college-medicine,64.16,20.23,66.47
htest-end-ly,56.5,56.5,55.5
mmlu-college-biology,75.0,19.44,78.47
math-intermediate-algebra,,,
winogrande,61.17,61.01,60.3
mmlu-business-ethics,72.0,14.0,73.0
math-prealgebra,,,
openbookqa,81.8,14.0,81.4
mmlu-human-sexuality,74.81,12.21,77.86
mmlu-world-religions,81.87,19.3,83.63
socialiqa,43.44,13.49,44.87
gsm8k,,,
mmlu-prehistory,76.54,27.78,76.23
mmlu-college-mathematics,26.0,9.0,34.0
mmlu-high-school-government-and-politics,91.71,32.12,91.19
mmlu-abstract-algebra,35.0,15.0,33.0
mmlu-clinical-knowledge,77.36,28.3,75.85
htest-rhyme,81.0,81.0,51.5
mmlu-international-law,80.17,41.32,80.17
htest-palindrome,47.0,47.0,49.0
mmlu-professional-accounting,48.23,13.48,49.65
mmlu-high-school-world-history,80.59,23.63,80.59
mmlu-medical-genetics,74.0,43.0,75.0
htest-hyphenated-word,49.0,49.0,48.5
htest-repeated-word,58.5,58.5,48.0
mmlu-virology,54.22,6.63,55.42
mmlu-electrical-engineering,60.0,4.83,64.83
mmlu-high-school-computer-science,65.0,17.0,70.0
medqa-usmle,51.45,1.41,52.79
hhh-alignment-harmless,58.62,0.0,93.1
mmlu-high-school-physics,32.45,5.3,39.74
mmlu-high-school-geography,81.31,19.19,82.83
mmlu-management,82.52,33.01,79.61
mmlu-moral-scenarios,37.77,33.52,40.67
mmlu-human-aging,74.44,10.76,74.89
hellaswag,61.02,40.02,66.59
mmlu-machine-learning,50.0,5.36,43.75
mmlu-high-school-european-history,71.52,19.39,73.94
math-geometry,,,
mmlu-professional-psychology,71.08,7.19,74.84
mmlu-econometrics,47.37,11.4,46.49
mmlu-college-computer-science,61.0,11.0,59.0
htest-end-punctuation,54.0,54.0,41.0
htest-start-vowel,49.0,49.0,50.0
mmlu-anatomy,64.44,17.04,69.63
mmlu-elementary-mathematics,47.88,31.48,51.59
mmlu-sociology,83.58,40.8,82.09
mmlu-formal-logic,34.13,0.79,40.48
mmlu-high-school-us-history,80.39,20.1,83.82
mmlu-computer-security,74.0,30.0,75.0
arc-easy,87.92,11.41,90.11
mmlu-astronomy,73.03,26.32,76.97
mmlu-high-school-biology,76.45,10.97,76.13
mmlu-high-school-macroeconomics,64.62,22.56,64.36
